City,Country,State,Current Affiliation,Field of Study/Interest,Level
Worcester,US,MA,Worcester State,Physics,Lifetime Membership
Pittsburgh,US,PA,NETL,Applied Physics,Lifetime Membership
,US,Illinois,Argonne National Laboratory,"Accelerator Physics, Optics, Laser-Plasma, Computational",-
Lubbock,US,Texas,"Texas Tech University, CMS experiment at the LHC, Fermilab",High Energy Physics,Lifetime Membership
Kansas City,US,Missouri,University of Missouri-Kansas City,Solid-state Physics,Lifetime Membership
Brooklyn,US,New York,Brooklyn College-CUNY,Experimental semiconductor physics,Lifetime Membership
Johnstown,US,PA,University of Pittsburgh,Material Sciences/Nanomaterials,Lifetime Membership
Highland Park,US,NJ,Rutgers University,"Computational Condensed Matter Physics, Machine Learning",Lifetime Membership
,US,PA,NETL,Physics,Lifetime Membership
Mt Pleasant,US,Michigan,Central Michigan University,Experimental Nuclear Physics,-
Tarzana,US,CA,Pasadena City College,"Physics Education,Condensed matter",Lifetime Membership
Plattsburgh,US,NY,SUNY Plattsburgh,Physics,Lifetime Membership
Norfolk,US,VA,ODU,Accelerator physics/SRF Cavity,Student Membership
Indianapolis,US,IN,The Bee Corp,Nuclear/Particle Physics,Lifetime Membership
Kansas City,US,Missouri,University of Missouri-Kansas City,Condensed Matter Physics,Student Membership
Norman,US,Oklahoma,University of Oklahoma,Computational condensed matter,Lifetime Membership
Harrisburg,US,NC,University of North Carolina at Charlotte,Space Physics,Lifetime Membership
Hattiesburg,US,MS,The University of Southern Mississippi,Condensed Matter Physics,Student Membership
Placentia,US,CA,CSUF,QC,Lifetime Membership
Newport News,US,VA,Hampton University,Experimental Nuclear Physics,Regular Membership
Newport News,US,VA,Hampton University,Experimental Nuclear Physics,First Time Student
Burlington,US,Vermont,The University of Vermont,Computational Biophysics/Chemistry,Student Membership
Fayetteville,US,North Carolina,Fayetteville State University,AMO and Condensed Matter Theory,Lifetime Membership
Ellicott City,US,Maryland,"MPRC, University of Maryland School of Medicine",NeuroImaging,Lifetime Membership
Orlando,US,FLORIDA,University of Central Florida,condensed matter physics,Student Membership
Laramie,US,Wyoming,University of Wyoming,Nuclear Physics and Physics Education,Lifetime Membership
San Jose,US,CA,Luminus Device,Material Science,Lifetime Membership
Portland,US,OREGON,Reed College,High Energy Physics,First Time Student
Rapid city,US,SD,South Dakota School of Mines & Technology,Condensed matter/ Material science,Student Membership
Morgantown,US,WV,National Energy Technology Laboratory,Applied Physics,Lifetime Membership
Yorktown,US,VA,Jefferson Lab,"Condensed Matter, Applied Superconductivity, Accelerator Physics",Lifetime Membership
,CA,AB,University of Regina,Nuclear physics,Lifetime Membership
,US,NJ,Springer Nature,"Physics, AMO, Plsama, Nuclear",Lifetime Membership
Gainesville,US,FL,UF,Machine learning/Deep Learning,Student Membership
Kansas city,US,Missouri,UMKC,Material science,Student Membership
Lincoln,US,Nebraska,University of Nebraska Lincoln,Physics,-
New York,US,NY,Columbia University,Computational and Theoretical Biophysics,-
Lexington,US,KY,University of Kentucky,Nuclear Physics,Student Membership
Magnolia,US,Arkansas,Southern Arkansas University,Nanotechnology,Lifetime Membership
Worcester,US,MA,Worcester Polytechnic Institute (WPI),"Atomic Physics, Biophysics, Physics Education Research",Lifetime Membership
Picayune,US,MS,The University of Southern Mississippi,AMO,Lifetime Membership
Fayetteville,US,Arkansas,University of Arkansas,Materials Science and Engineering,Student Membership
Denver,US,Colorado,National Renewable Energy Laboratory,Condensed Matter Physics,Lifetime Membership
Brookings,US,SD,South Dakota state University,"Magnetism, spintronics",Lifetime Membership
MELROSE,US,MASSACHUSETTS,Northeastern University,bio-physics,Student Membership
Boise,US,ID,Boise State University,Biophysics,Regular Membership
Lexington,US,KY,KY,Nuclear Physics,Student Membership
Santa Barbara,US,CA,"University of California, Santa Barbara",Condensed Matter Physics,Regular Membership
Macomb,US,IL,western illinois university,Solid state physics,-
Philadelphia,US,Pennsylvania,"Temple University, Philadelphia, PA, USA","High Energy Physics, Spin Physics",-
Tualatin,US,OR,Lam Research,"Semiconductor, thin film, nanomaterials",Regular Membership
Starkville,US,Mississippi,Mississippi State University,Computational material physics,-
Durham,US,NC,North Carolina Central University,Material Science,-
Boone,US,North Carolina,Appalachian State University,Atomic and Medical Physics,Regular Membership
Plainsboro,US,New Jersey,Princeton University,Space Science,Regular Membership
Harrisburg,US,NC,Duke Energy,Engineering/ Finance,Lifetime Membership
Saint Louis,US,MO,Washington University at Saint Louis,Biophysics,Lifetime Membership
Newport News,US,VA,Old Dominion University,Accelerator Physics,Lifetime Membership
Boulder,US,CO,"JILA, University of Colorado Boulder","Materials Science, AMO",-
New York,US,NY,Brooklyn College and The Graduate Center of CUNY,Semiconductor Physics,Student Membership
,US,NC,Surry College,Physics,-
Boise,US,Idaho,Boise State University,Biophysics,Lifetime Membership
Detroit,US,MI,Wayne State University,Biophysics,-
Hillsboro,US,OR,Intel Corporation,Condensed Matter,Lifetime Membership
Fort Worth,US,Texas,Hill College,Semiconductor Physics,Regular Membership
Philadelphia,US,PA,"University of Pennsylvania, Philadelphia, PA",Nano-Bio Physics,Regular Membership
Boston,US,MA,Harvard Medical School & Massachusetts General Hospital,Neuroimaging,Lifetime Membership
Houston,US,TX,University of Houston-Clear Lake,Nanomaterials Science/Applied Physics,Lifetime Membership
Portland,US,Oregon,Intel Corporation,Optics and Photonics,Lifetime Membership
